News Channel,Compound,Negative,Neutral,Positive,Tweet Ago,Tweet Date,Tweet Text
BBC,0.7227,0.0,0.79,0.21,1,10/05/2018,"Franklin and his gang are now the main dealers in the area but success brings new problems...

#Snowfall | 10:50pm… https://t.co/ZBmiDiGpWy"
BBC,-0.1027,0.202,0.649,0.149,2,10/05/2018,"A poetic account of the Troubles in Northern Ireland, told through the stories of people who lost loved ones during… https://t.co/ZMdNqwA6QJ"
BBC,0.4404,0.129,0.612,0.259,3,10/05/2018,Most polite stag do ever 😂 https://t.co/Vdz6abFUA5
BBC,0.0,0.0,1.0,0.0,4,10/05/2018,A horse walks into a bar... https://t.co/0e9rcMyq26
BBC,0.4939,0.0,0.819,0.181,5,10/05/2018,"Hundreds of sculptures lie at the bottom of the sea in Cancun, where they play an important role in conservation. https://t.co/elKcb1ArXb"
BBC,-0.5574,0.265,0.735,0.0,6,10/05/2018,RT @BBCNewsEnts: Opera singer Montserrat Caballé has died at 85 https://t.co/XjCDKCe3Wo
BBC,0.0,0.0,1.0,0.0,7,10/05/2018,"These caves in rural Italy have been transformed into hotel rooms. 😍🇮🇹

#Mediterranean with @Simon_Reeve starts on… https://t.co/odrZvluN8x"
BBC,-0.4189,0.2,0.709,0.091,8,10/05/2018,"Please can everyone stop drinking their own urine?
It’s really not very good for you.
👉 https://t.co/gJwPTW9aiI https://t.co/E8aW02uYqp"
BBC,0.0,0.0,1.0,0.0,9,10/05/2018,"Going, going, gone!

A Banksy artwork shredded itself after it was sold for more than £1m at Sotheby's in London.… https://t.co/Qm7OwhiXT5"
BBC,-0.4939,0.211,0.789,0.0,10,10/05/2018,❤️ George Shelley opens up about grief and how to cope. https://t.co/4SajjiJI6e
BBC,-0.4588,0.231,0.769,0.0,11,10/05/2018,Footage shows hundreds of tents abandoned by people after #LeedsFestival… https://t.co/VPTNlAVId4
BBC,0.5095,0.098,0.679,0.222,12,10/05/2018,"🎓 Losing friends, moving home and being broke... what's life after university really like?
👉 https://t.co/5sabryzvbw https://t.co/9x23y45XtO"
BBC,-0.128,0.154,0.711,0.134,13,10/05/2018,"✉️ @StephenFry reads the letters of Otto von Wächter, a senior Austrian Nazi who escaped justice after the war.

Li… https://t.co/eadlYB4D0K"
BBC,-0.4767,0.205,0.795,0.0,14,10/05/2018,"How a bike accident transformed the lives of thousands of disabled people. 
#BBCInnovators https://t.co/NKOauhKD7M"
BBC,0.7506,0.0,0.748,0.252,15,10/05/2018,"✍️ Inspired by the book he famously illustrated 30 years ago, Sir Quentin Blake imagines what Roald Dahl's Matilda… https://t.co/DzXk7J6M2p"
BBC,0.2732,0.066,0.823,0.111,16,10/05/2018,"RT @BBCTheOneShow: 1.5 million people may have been affected by the tsunami in Sulawesi. 
Here’s how you can help the @decappeal https://t.…"
BBC,0.7003,0.0,0.655,0.345,17,10/05/2018,"☕️💛 This Amazing Human uses coffee to give homeless people a second chance.

https://t.co/wOc1ce2B3J"
BBC,-0.8074,0.356,0.644,0.0,18,10/05/2018,"Follow some of the debt counsellors working for Christians Against Poverty.

The Debt Saviours | 9pm | @BBCTwo |… https://t.co/t0c5uwl4jk"
BBC,0.0,0.0,1.0,0.0,19,10/05/2018,💪🐔 Check out these miniature chicken bodybuilders. https://t.co/rfRrfZMVkM
BBC,0.0,0.0,1.0,0.0,20,10/05/2018,John Humphrys presents the first heat of the series as the hunt for the nation's Mastermind gets back underway.… https://t.co/hQdf779Yeo
BBC,0.4404,0.084,0.749,0.167,21,10/05/2018,FACT: Britons can only let go emotionally when a barmaid breaks some glasses... 😂 #TheMashReport https://t.co/Hk2tqQv8WR
BBC,0.3612,0.0,0.902,0.098,22,10/05/2018,"RT @1Xtra: .@RayBLK_'s #LiveLounge cover of 'A Natural Woman' for #BackHistoryMonth was just incredible.  

Full video 👉🏿 https://t.co/6TNL…"
BBC,0.8625,0.065,0.578,0.357,23,10/05/2018,"RT @BBCWales: 😂 Best global marketing campaign ever? 

🆕 #FestivalofFunny comedy: #TouristTrap 
⭐️ @MikeBubbins, @MariBarf, @SallyEPhillips…"
BBC,0.6124,0.0,0.828,0.172,24,10/05/2018,"RT @BBCWales: The new tourism head honcho for Wales gets hands on as she learns all about making love...spoons. 😆

🆕 Comedy: #TouristTrap…"
BBC,0.0,0.0,1.0,0.0,25,10/05/2018,"RT @BBCWales: 😮WE JUST DROPPED ALL OF #TOURISTTRAP ON @BBCIPLAYER. 

✨WATCH EVERY EPISODE HERE 👉 https://t.co/kOmZRWZt8D

👍HAPPY FRIDAY! #F…"
BBC,-0.1027,0.072,0.928,0.0,26,10/05/2018,"'I hid my baby from social services in case they took it away.'
👉 https://t.co/GzIQQwypFT https://t.co/2m4sqlGogP"
BBC,0.1779,0.126,0.673,0.202,27,10/05/2018,"Raoul the turtle had a lucky escape after getting tangled in plastic waste. 🐢

#Mediterranean with @simon_reeve sta… https://t.co/naQPqpDwpy"
BBC,-0.2732,0.116,0.884,0.0,28,10/05/2018,"🐬 This woman taught a dolphin to speak English. 

🔈 Sound up for this one…  https://t.co/wck12UVoRr"
BBC,0.8555,0.0,0.669,0.331,29,10/05/2018,"Why does everybody love moth memes?

It's the one-sided love story that we can all relate to...
👉… https://t.co/55Oz8ULaX3"
BBC,0.743,0.0,0.674,0.326,30,10/05/2018,"RT @BBCTwo: We literally can't get enough of @donaldglover's amazing smile. 😁😁 #Atlanta #WorldSmileDay
https://t.co/ovzKcY0pKg"
BBC,0.3818,0.22,0.478,0.303,31,10/05/2018,"The Nobel Peace Prize has been awarded to campaigners against rape in warfare Nadia Murad and Denis Mukwege. 
👉… https://t.co/getpPN0hD9"
BBC,0.7414,0.0,0.77,0.23,32,10/05/2018,RT @BBC_Teach: It’s #WorldTeachersDay 👩🏫 so to celebrate we're inviting you to upload a video of yourself singing &amp; dancing along to one of…
BBC,-0.6705,0.2,0.8,0.0,33,10/05/2018,"The quest for extreme selfies killed 259 people between 2011 and 2017, a 2018 global study has revealed.
👉… https://t.co/uojB5RWAf2"
BBC,0.5994,0.0,0.804,0.196,34,10/05/2018,👩🏾‍🎨🎨🖼 This artist on a mission to change how black women are illustrated with her beautiful designs. https://t.co/OiKhaT5joi
BBC,0.5719,0.0,0.773,0.227,35,10/05/2018,"From dream job to reality: How do career dreams really work out?
👉 https://t.co/jXwJd5MzSu https://t.co/cf8HHuYtyi"
BBC,0.0,0.0,1.0,0.0,36,10/05/2018,"These urban corals are thriving against all odds in Miami.

#OurBluePlanet w/ @oceanx + @coralmorph https://t.co/zjeBH83ZM7"
BBC,0.0,0.0,1.0,0.0,37,10/05/2018,"🎶 @BTS_twt is the #KPop band taking over the world and smashing records everywhere. 

Who are they and how did they… https://t.co/SSFjTKFAjU"
BBC,-0.5209,0.218,0.684,0.097,38,10/05/2018,"Could the power of fake pills be used to treat some of our most common medical complaints? 💊

#Horizon The Placebo… https://t.co/R3YMojVEYu"
BBC,0.0,0.0,1.0,0.0,39,10/05/2018,"This is how homophobia feels in 2018. 
#NationalPoetryDay https://t.co/Dk2F3dDLPl"
BBC,-0.6124,0.25,0.654,0.096,40,10/05/2018,"🥓 Regularly eating foods like bacon and sausages may raise the risk of breast cancer, according to researchers.
👉… https://t.co/drh72r7tDj"
BBC,0.4215,0.0,0.714,0.286,41,10/05/2018,"Maya Angelou: prolific, powerful, and a polymath. 
#BlackHistoryMonth https://t.co/99z0ppyKYK"
BBC,-0.4588,0.242,0.67,0.088,42,10/05/2018,"RT @BBCWales: Forget the lies and the myths about growing up on an estate. 

#NationalPoetryDay

https://t.co/HPKwfqx7bq"
BBC,0.0,0.0,1.0,0.0,43,10/05/2018,"How did Shakespeare invent all those clichés? And how can he be stopped?! 🤔
#NationalPoetryDay  https://t.co/sCmnhZiv4G"
BBC,0.1531,0.0,0.89,0.11,44,10/05/2018,"🌡🌍 What does 1.5C mean in a warming world?
👉 https://t.co/XzjY5M8oNl https://t.co/kMLXVnvjxm"
BBC,-0.25,0.357,0.429,0.214,45,10/05/2018,Are you feeling lonely? https://t.co/HxqBp6oh17
BBC,0.4404,0.0,0.813,0.187,46,10/05/2018,"RT @BBCEarth: This #WorldAnimalDay, we’re giving you an exclusive first look at David Attenborough’s new series.

#Dynasties - Coming soon…"
BBC,0.0,0.0,1.0,0.0,47,10/05/2018,"Ever heard a beatboxing starling? 🔊🔊
#WorldAnimalDay https://t.co/N758EN4j3s"
BBC,0.1759,0.206,0.546,0.248,48,10/05/2018,"The pika might just be the world's cutest thief! 
#WorldAnimalDay https://t.co/v8dSKoVYgD"
BBC,0.0,0.0,1.0,0.0,49,10/05/2018,Could this squat be a moment that sparks change? https://t.co/GFXOeWufHl
BBC,0.4939,0.0,0.789,0.211,50,10/05/2018,"🐬 A dolphin with a prosthetic tail inspired Ellie’s Paralympic journey.

#OurBluePlanet w/ @oceanx https://t.co/WtUfOh4W2Z"
BBC,-0.2263,0.172,0.651,0.177,51,10/05/2018,"🥗 Eating a Mediterranean diet may help prevent depression, research suggests.
👉 https://t.co/FIpHPRQHqV https://t.co/tl4BbDsxUa"
BBC,-0.5994,0.231,0.769,0.0,52,10/05/2018,"3 homeless people die every week in the UK.
Meanwhile in Finland...

(via @BBCThree) https://t.co/P4MYjbE4d1"
BBC,0.4939,0.0,0.819,0.181,53,10/05/2018,"The search for Lord Sugar's next business partner begins, and this year the challenges are bigger and better than e… https://t.co/El1AyC5sXs"
BBC,0.0,0.0,1.0,0.0,54,10/05/2018,🎧❤️ Dementia playlists are making such a big difference to these people.  https://t.co/ojVDVuP6to
BBC,0.5411,0.0,0.851,0.149,55,10/05/2018,RT @BBCnireland: ✍ @BBCApprentice is back tonight on @BBCOne so here are some tips to get you hired! - https://t.co/gc5KSIFQf1 https://t.co…
BBC,0.4404,0.0,0.868,0.132,56,10/05/2018,❤️ Couples will soon be able to choose a civil partnership instead of a marriage thanks to Rebecca and Charles. https://t.co/nampxOV5ur
BBC,0.0,0.0,1.0,0.0,57,10/05/2018,🍜 The humble origins of an incredibly versatile food – the potted history of instant noodles. https://t.co/3RMBZ33zFY
BBC,0.0,0.0,1.0,0.0,58,10/05/2018,"🌙 'Leonardo da Vinci was the first recorded person to realise what a crescent moon was.'

Nine out of this world fa… https://t.co/cpzfOniwxA"
BBC,0.7299,0.0,0.695,0.305,59,10/05/2018,"That time @RyanGosling was training to be an astronaut and DEFINITELY WASN'T (was) sick. 
#TheGNShow https://t.co/mf8dnizxAV"
BBC,0.2732,0.0,0.89,0.11,60,10/05/2018,"🕺🎙 'Tom Daley was an Elvis impersonator - with his dad'

10 surprising things we learned from @TomDaley1994’s… https://t.co/NGQAEEJWdl"
BBC,-0.5574,0.247,0.753,0.0,61,10/05/2018,"19-year-old rapper Kitch has a stutter when he speaks - but when he performs, it usually disappears. https://t.co/tVXhIeAwEg"
BBC,0.0,0.0,1.0,0.0,62,10/05/2018,"RT @BBCRadio2: 🥁Drumroll please!🥁

Our brand new Breakfast Show host is @ZoeTheBall! 👏

https://t.co/th597DBxQI https://t.co/dbfQgMsuHO"
BBC,-0.6124,0.185,0.815,0.0,63,10/05/2018,"🐧 A zoo has been forced to fill its new penguin exhibit with models, as a shortage of birds means it is unable to g… https://t.co/BmSAy8zQJP"
BBC,0.0,0.0,1.0,0.0,64,10/05/2018,"""Oh, I'm so sorry,"" and other things not to say to amputees. 
(via @BBCThree) https://t.co/L8eiOleNyi"
BBC,0.0,0.0,1.0,0.0,65,10/05/2018,"Discover the extraordinary story of how a small Scottish bank grew to briefly become the biggest in the world, befo… https://t.co/OQpgOJ7edi"
BBC,-0.802,0.427,0.573,0.0,66,10/05/2018,Knife crime is up 22%. Who are the victims and what’s to blame? https://t.co/ZEAml31p9m
BBC,0.4019,0.0,0.847,0.153,67,10/05/2018,"The gender reveal party that sparked a massive 47,000 acre wildfire. 
👉 https://t.co/b0Xc17AuK5 https://t.co/ROh8TOMH7K"
BBC,0.7096,0.0,0.766,0.234,68,10/05/2018,"In 2002, Iberian Lynx were the rarest cats in the world. But then something remarkable happened... https://t.co/iEVCaSDvjN"
BBC,-0.2732,0.242,0.554,0.204,69,10/05/2018,Two scientists who discovered how to fight cancer using the body's immune system have won the 2018 #NobelPrize for… https://t.co/fIj6Ly7Z3u
BBC,0.5994,0.0,0.795,0.205,70,10/05/2018,"🍲😋 A bowl of warm, hearty stew is always a welcome sight on a cold day.

From a classic beef stew to a vegetarian h… https://t.co/1X1qdk14Oh"
BBC,0.0,0.0,1.0,0.0,71,10/05/2018,"Jodie Whittaker. New Doctor...and a 'Shat Lass'.
#TheGNShow #DoctorWho https://t.co/25HwEbjAfn"
BBC,0.5719,0.0,0.829,0.171,72,10/05/2018,"Donna Strickland has become the first woman to have won the #NobelPrize in Physics in 55 years. 
👉… https://t.co/hGIojnR1W0"
BBC,0.0,0.0,1.0,0.0,73,10/05/2018,"RT @BBCSport: SPOTY is back - and there are some big changes.

The BBC Sports Personality of the Year 2018 contenders will be revealed on t…"
BBC,0.6696,0.0,0.728,0.272,74,10/05/2018,"❤️💃🏻 Ballet is still the love of Joyce's life at 98-years-old! 
#WorldBalletDay https://t.co/nzr3Jy1wbS"
BBC,-0.6705,0.231,0.769,0.0,75,10/05/2018,"Over 300,000 marine animals are killed after becoming entangled in fishing gear every year. 
#DrowningInPlastic… https://t.co/WmFqGMo8Es"
BBC,0.0,0.0,1.0,0.0,76,10/05/2018,RT @bbccomedy: ‘There She Goes’ starring @JefficaHoons and David Tennant comes to @BBCFOUR on October 16th. https://t.co/tH37Wg5TBC
BBC,-0.7964,0.321,0.679,0.0,77,10/05/2018,"In January 1918, the Spanish flu swept the world and killed more people than WW1. 
#TheFluThatKilled50Million https://t.co/WinYKnWfSA"
BBC,0.0,0.0,1.0,0.0,78,10/05/2018,"👛 Do you know where your tips go? 

A guide to how tipping works in restaurants.
👉 https://t.co/CNU4t3iogG https://t.co/7dcsckQwcG"
BBC,-0.6486,0.202,0.798,0.0,79,10/05/2018,"More than half of the world's killer whales could be wiped out by man-made chemicals, scientists say.  https://t.co/w1SaxVchyO"
BBC,-0.128,0.081,0.919,0.0,80,10/05/2018,Wildlife biologist @LizBonnin visits scientists working at the cutting edge of plastics research. She works with le… https://t.co/rSc4ZR9MEX
BBC,0.0,0.0,1.0,0.0,81,10/05/2018,"A 19-year-old university student has described his photograph of a white fallow buck sneezing as a ""one-in-a-millio… https://t.co/A1q3ZEIz2z"
BBC,0.7506,0.0,0.748,0.252,82,10/05/2018,"RT @BBCFood: 🥕 It's World Vegetarian Day and we're celebrating all things veggie. Whether you're looking for a quick lunch, a healthy trayb…"
BBC,0.0,0.0,1.0,0.0,83,10/05/2018,"RT @CBeebiesHQ: Cuddle up cheek to cheek!

Sharon D. Clarke is back for tonight's #BedtimeStory 😴📚

The biographical tale of Ella Fitzgeral…"
BBC,0.0,0.0,1.0,0.0,84,10/05/2018,These scientists have found plastic in every area of the Arctic; there are about 225 trillion particles in the whol… https://t.co/UoKtCXow1b
BBC,0.0,0.0,1.0,0.0,85,10/05/2018,"An Astrophysicist? A World Traveller? CEO of the British Library? 🔭📚🤷

Illustrator Sir Quentin Blake has reimagined… https://t.co/PqXhCcoHH9"
BBC,0.0,0.0,1.0,0.0,86,10/05/2018,"RT @bbcgetinspired: 'I'm a Muslim woman, I'm visually-impaired and I'm a boxer' 🥊🥊 #GetInspired 

https://t.co/zJorjZokVM"
BBC,0.7456,0.0,0.689,0.311,87,10/05/2018,"🎶🌟@LadyGaga and Jodie Whittaker playing the #DoctorWho theme tune on the theremin is AMAZING. #TheGNShow

https://t.co/PEwaE9tzNH"
BBC,0.128,0.137,0.705,0.159,88,10/05/2018,"😂😃😐 Can you spot a fake laugh? 

Take this quiz to find out. 👉 https://t.co/LAFjV5ggf7 https://t.co/sFjlLRwzQK"
BBC,-0.5574,0.167,0.833,0.0,89,10/05/2018,"Geoffrey Hayes, who hosted long-running children's TV show, Rainbow, has died aged 76.
👉 https://t.co/10XDMpYCiz https://t.co/vPs5odJKqy"
BBC,0.7003,0.0,0.655,0.345,90,10/05/2018,"This Amazing Human uses coffee to give homeless people a second chance. ☕️💛#InternationalCoffeeDay

https://t.co/wOc1ce2B3J"
BBC,0.3818,0.134,0.591,0.274,91,10/05/2018,"Turns out it's *quite* difficult to keep a straight face while testing laughing gas...

https://t.co/nFlgKY7NuY"
BBC,-0.7351,0.237,0.763,0.0,92,10/05/2018,RT @BBCRadio4: We conducted the world's largest survey on loneliness and discovered that 16-24 year olds are the loneliest age group. Read…
BBC,0.0,0.0,1.0,0.0,93,10/05/2018,"We cannot WAIT for the new Doctor Who series! @bbcdoctorwho #TheGNShow

https://t.co/BkxpymO5Be"
BBC,0.7845,0.0,0.734,0.266,94,10/05/2018,"Start your Monday the right way. Watch Tom Hardy explain to a child why we should love all things equally. 💔😭

https://t.co/646n5wwjvL"
BBC,-0.875,0.5,0.5,0.0,95,10/05/2018,Persistent chemical pollution threatens the future of killer whales. 💔 https://t.co/wJJIQj8WLK https://t.co/saSP4leLjt
BBC,-0.872,0.398,0.602,0.0,96,10/05/2018,"Last year @higeorgeshelley's sister died in an accident. 

He opens up about grief and how to cope.

https://t.co/4SajjiJI6e"
BBC,0.4753,0.0,0.843,0.157,97,10/05/2018,"RT @BBCOne: “I see women out with their babies walking around like it’s nothing… I just want to yell out at them, “You’re amazing!” @Jenna_…"
BBC,0.6239,0.0,0.687,0.313,98,10/05/2018,RT @bbcstrictly: Wow. #Strictly Movie Week looks wand-erful! 🧙‍♂️✨ https://t.co/3Iko29h06s
BBC,0.0,0.0,1.0,0.0,99,10/05/2018,"A mother’s life disintegrates while the world looks on. 

#TheCry | 9pm | @BBCOne | https://t.co/hDRdVsMamq https://t.co/2SrLnoKGLi"
BBC,0.0,0.0,1.0,0.0,100,10/05/2018,Tonight it's the first @BBCStrictly results show! Find out which couples have made it through and which two will be… https://t.co/vytPpS8tTl
CBS,0.0772,0.0,0.936,0.064,1,10/05/2018,"RT @CBSAllAccess: Take a first look at Spock, Number One, and Section 31’s newest recruit. #StarTrekDiscovery returns January 17, 2019. htt…"
CBS,0.5423,0.0,0.8,0.2,2,10/05/2018,"Viewers in Atlanta, Charlotte, Pittsburgh, and most of Michigan and Wisconsin, please take note of the DVR alert be… https://t.co/fradnBOvdk"
CBS,-0.3612,0.179,0.821,0.0,3,10/05/2018,"RT @MadamSecretary: Worlds collide when former Secretaries of State @HillaryClinton, @madeleine, and Colin Powell stop by #MadamSecretary f…"
CBS,0.0,0.0,1.0,0.0,4,10/05/2018,".@TheNeighborhood's @BethBehrs and @latelateshow may have come up with a new hit show called ""Naked Rabbi.""… https://t.co/KLsSlzgC0f"
CBS,-0.6808,0.189,0.811,0.0,5,10/05/2018,"RT @FBICBS: When a killer's victim survives to tell the tale, it's up to the team to catch him before he kills again. 

The first SEVEN MIN…"
CBS,0.5023,0.0,0.787,0.213,6,10/05/2018,But you know the CBS Fall TV that makes YOU smile. #WorldSmileDay https://t.co/JVOh5TlK0D
CBS,-0.3724,0.242,0.758,0.0,7,10/05/2018,Not everyone smiles at the same shows #WorldSmileDay https://t.co/XFwNIFleXf
CBS,0.3612,0.0,0.8,0.2,8,10/05/2018,"And smile at shows that, you know, get you. #WorldSmileDay https://t.co/9JpmKkB7Ky"
CBS,0.6124,0.0,0.667,0.333,9,10/05/2018,Smile at shows you’ve been meaning to smile at before #WorldSmileDay https://t.co/MWrtrX62BP
CBS,0.7003,0.0,0.58,0.42,10,10/05/2018,Get right back into smiling with your favorites #WorldSmileDay https://t.co/BohCiTymMO
CBS,0.3612,0.0,0.737,0.263,11,10/05/2018,Time to smile at new shows #WorldSmileDay https://t.co/n45SpVXuOq
CBS,0.4199,0.0,0.715,0.285,12,10/05/2018,Smile! CBS Fall TV is here. #WorldSmileDay https://t.co/QhmtAmJL0X
CBS,0.0,0.0,1.0,0.0,13,10/05/2018,"The Big Bang Theory.
Young Sheldon, Mom, Murphy Brown.
S.W.A.T. Watch them tonight.

#NationalPoetryDay"
CBS,-0.3875,0.226,0.774,0.0,14,10/05/2018,@shygirlsue @Ranker And we couldn't be prouder of you.😊 https://t.co/Rt9bRkv32J
CBS,0.0,0.0,1.0,0.0,15,10/05/2018,@suferah_khan https://t.co/hkLN6VK6WI
CBS,0.7906,0.0,0.682,0.318,16,10/05/2018,.@Ranker is ranking the best CBS shows of all time. Did your favorites make the list? https://t.co/D3ZrfZK0Q9
CBS,0.4939,0.0,0.849,0.151,17,10/05/2018,".@CrimMinds_CBS returns tonight for its 300th episode. In honor of the milestone season premiere, the cast has a me… https://t.co/o9aKkBKKtw"
CBS,0.6956,0.0,0.69,0.31,18,10/05/2018,".@wayansjr debuted his perfect impression of his father on @colbertlateshow but everybody, be cool, and don't tell… https://t.co/MWa9UNOORj"
CBS,0.8858,0.0,0.646,0.354,19,10/05/2018,RT @CBSAllAccess: It's a great day to be a fan of #TheTwilightZone! We're celebrating the 59th anniversary of the classic series AND the of…
CBS,0.0,0.0,1.0,0.0,20,10/05/2018,"⚡️ “Happy Together Premieres on CBS”

https://t.co/W7IvELcMcw"
CBS,0.1622,0.133,0.746,0.121,21,10/05/2018,"@miamicah We don't know for sure about that, but we are sure that you should be some sort of TV detective. 🙂 https://t.co/uW5aSn7jlO"
CBS,0.0,0.0,1.0,0.0,22,10/05/2018,"⚡️ “The Neighborhood Premieres on CBS”

https://t.co/R72l342BFE"
CBS,0.3182,0.0,0.881,0.119,23,10/05/2018,"RT @startrekcbs: Discover the next adventure of #StarTrekDiscovery January 2019, and catch #Starfleet at @NY_Comic_Con THIS Saturday. https…"
CBS,0.765,0.0,0.708,0.292,24,10/05/2018,The stars of @TheNeighborhood and @happytogether celebrated their shows' premieres on CBS tonight with a good old f… https://t.co/fu9SJzv7hZ
CBS,0.0,0.0,1.0,0.0,25,10/05/2018,"RT @TheNeighborhood: It's almost time! Our live Q&amp;A with the casts of #TheNeighborhood &amp; #HappyTogether is starting at 8pm ET/ 5pm PT. 

Se…"
